id	name	address	zip	city_hotel	cc1	ufi	class	currencycode	minrate	maxrate	preferred	nr_rooms	longitude	latitude	public_ranking	hotel_url	photo_url	desc_en	desc_fr	desc_es	desc_de	desc_nl	desc_it	desc_pt	desc_ja	desc_zh	desc_pl	city_unique	city_preferred	continent_id	
15564	Blackheath Lodge	6 Blackheath Road	8005	Cape Town	za	-1217214	4.0	ZAR	780	2650		10	18.3976793289185	-33.9102079034559	63575	http://www.booking.com/hotel/za/blackheath-lodge.html	http://aff.bstatic.com/images/hotel/org/998/998896.jpg	This is a 2-floor Victorian guest house below Signal Hill, close to the city, Waterfront and well-known beaches.			Das zweistöckige viktorianische Gästehaus liegt unterhalb des Signal Hill, nahe dem Stadtzentrum, dem Hafen und den berühmten Stränden.  Das 1880 erbaute Haus verfügt über großzügige Räume, hohe Decken und Holzböden.			Esta é uma casa de hóspedes vitoriana com 2 pisos abaixo de Signal Hill, próximo da cidade, da costa e de praias conhecidas.		这是一栋两层楼的维多利亚风格旅馆，在Signal Hill山之下，邻近城市、海滨和著名的沙滩。  酒店建于1880年代，设有宽敞的内部环境、高天花板和木地板， 最近经过重新装修，待有独特的非洲风格和魅力。酒店旨在为您提供时髦的客房、优越的个人化服务和温馨招待。  您可在俯瞰着泳池和花园的露台上享用早餐。在忙碌的一天杂外观光或经商之后，回到酒店享用一杯黄昏时分的鸡尾酒，并可享受安静舒适的睡眠。酒店也很乐意为您提供晚餐，或是日间到海滩或登山远足的野餐餐点。		cape-town	Cape Town	5	\

15488	Harbour House Hotel and Guest House	18 Harbour Road	7200	Hermanus	za	-1236784	4.0	ZAR	700	1495		18	19.279461	-34.411158	69466	http://www.booking.com/hotel/za/harbour-house-and-guest-house.html	http://aff.bstatic.com/images/hotel/org/902/902873.jpg	Positioned only a few metres from the water’s edge, at the heart of the Old Harbour, this deluxe 4-star hotel and guest house ensures guests an enjoyable stay.	Situé à quelques mètres du bord de l'eau, au cœur du vieux port, cet hôtel 4 étoiles et guest house vous assure un séjour agréable.	Ubicado a pocos metros del mar, en el corazón del antiguo puerto, este hotel de lujo de 4 estrellas ofrece un alojamiento agradable.								hermanus	Hermanus	5	\

15636	Latreuo Guest House	17 Gloxinia Street  Boston	7530	Bellville 	za	-1210113	4.0	ZAR	750	2400		5	18.6077499389648	-33.8744063107916	49427	http://www.booking.com/hotel/za/latreuo.html	http://aff.bstatic.com/images/hotel/org/100/1005987.jpg	Situated just 20 minutes away from Cape Town, this charming provincial house provides a relaxing and welcoming environment in the leafy suburb of Welgemoed, Belville.	Située à seulement 20 minutes du Cap, cette agréable maison provençale constitue un cadre accueillant et reposant, dans la banlieue verdoyante de Welgemoed, Belville.			Dit charmante provinciale guesthouse ligt op slechts 20 minuten van Kaapstad en biedt een ontspannen en gastvrije omgeving in de groene buitenwijk van Welgemoed in Belville.  Latreuo is afgeleid uit het Grieks, en betekent: 'komt tot leven'.						bellville	Bellville	5	\

15179	Honeyguide Tented Safari Camps	Manyeleti Reserve, Greater Kruger National Park	1380	Manyeleti	za	-1256992	4.0	ZAR	4400	7600		24	31.4276659102301	-24.5482543135128	21116	http://www.booking.com/hotel/za/honeyguide-tented-safari-camps.html	http://aff.bstatic.com/images/hotel/org/676/676110.jpg	Experience a tented safari adventure at a ‘big 5’ reserve in the greater Kruger National Park area, where 2 en suite tented camps offer you the chance to get back to nature.		Viva una inolvidable aventura de safari en esta reserva \"big 5\" (se conocen así las reservas que albergan leones, elefantes africanos, rinocerontes negros y búfalos) en el extenso parque nacional Kruger, donde 2 campamentos de tiendas con baño le...		Beleef een avontuurlijke safari in een 'big 5' reservaat in het grote Kruger Nationaal Park. De 2 tentenkampen met eigen badkamer bieden u de kans om optimaal te genieten van de natuur.	Avventuratevi in un safari alla scoperta dei 5 Big, nel grande parco nazionale di Kruger. dove due campi con tende vi daranno la possibilità di sperimentare la vita a contatto con la  natura.			入住该酒店，您可到广阔的Kruger 国家公园big 5保护区附近体验帐篷游猎冒险的活动，那里提供2个连接式帐篷营地，可让您回到大自然。  这个度假胜地拥有2个连接式帐篷营地，提供全膳服务，包括种类丰富的佳肴、多种饮料和精彩的活动。在这里，您可以坐着敞篷车或在导游的带领下散步欣赏非洲灌木丛和多种野生动物，这些均在专业、有经验的导游和追踪器的监督下。		manyeleti	Manyeleti	5	\

25895	Casta Diva	67 Albatros Street, Ninapark, Akasia	0156	Pretoria	za	-1273769	4.0	ZAR	750	2900		9	28.1459641	-25.6857977	57284	http://www.booking.com/hotel/za/casta-diva.html	http://aff.bstatic.com/images/hotel/org/131/1311322.gif	Casta Diva is an exclusive, luxury boutique hotel surrounded by lush sub-tropical gardens - an oasis of peace and tranquillity just 8 kilometres from the centre of Pretoria.								Casta Diva酒店是一家精致的豪华精品酒店，被葱郁的亚热带花园所包围－这里是和平与安宁的绿洲并且距离Pretoria（比勒陀利亚）市中心仅８公里。  酒店占据美丽的庄园，提供６间客房和套房以及３间设施齐全的自助式公寓。 住宿分布在主楼和两幢别墅，所有客房设有私人入口、独特的个性和特别的花园环境。  在您经过活跃假期之后，酒店周围的乡村适合您远足。 此外，您可以打网球、在健身室工作或是在迷人的游泳池畅泳。  酒店的花园、水景和观鸟则邀请您前来放松。...		pretoria	Pretoria	5	\

15522	Camps Bay Glen	40 Rottingdean Road	8040	Camps Bay 	za	900040022	0.0	ZAR	550	2450		4	18.3753848075867	-33.9645583798079	35167	http://www.booking.com/hotel/za/campsbayglen.html	http://aff.bstatic.com/images/hotel/org/106/1067766.jpg	Situated on the edge of a nature reserve, with a mountain stream running right through its garden, this rustic guest house offers affordable accommodation in a very beautiful country like setting.	Située aux abords d'une réserve naturelle, avec un jardin traversé par un ruisseau de montagne, cette maison d'hôtes rustique propose un hébergement à des prix raisonnables dans un magnifique cadre campagnard.	Ubicado en el centro de la reserva natural, con un arroyo montañoso justo detrás del jardín, este hotel rústico ofrece un alojamiento económico en un precioso entorno rural.		Dit verblijf ligt aan de rand van een natuurreservaat, met een bergriviertje dat dwars door de tuin loopt. In dit rustieke verblijf vindt u betaalbare accommodatie in een prachtige, landelijke omgeving.						camps-bay-za	Camps Bay	5	\

